Row,Coastal,Deep
bio,1.89914529304305,1.90078063228731
td,1,1
met,0.00694120114024055,0.0119972185390161
enc_f,0.00253859040442242,0.00379927009528702
enc_p,0.00013846856751395,0.000207232914288383
enc_d,0.0005538742700558,0.000828931657153533
enc_zm,0.0934662830719163,0.271993200003503
enc_zl,0,0
enc_be,0,0
con_f,0.000589097151901582,0.000518296646488583
con_p,3.21325719219045e-05,2.82707261721045e-05
con_d,0.000128530287687618,0.000113082904688418
con_zm,0.0216894860472855,0.0371053281008872
con_zl,0,0
con_be,0,0
I,0.0224392460587966,0.0377649783782363
die,0.00582862658753515,0.00486205218197912
pred,0.00306769820396587,0.00255897483262059
nmort,0.000273972602739726,0.000273972602739726
prod,0.0166559150917425,0.0274327060189237
nu,0.00876627110091709,0.0144382663257493
gamma,0,0
rep,0.00520389052347614,0.0109572211988186
rec,0.000288169836245157,0.00111281725101874
clev,0.767943205459482,0.863579942070576
caught,0.00156222535758957,0.00156357057769726
fmort,0.000821917808219178,0.000821917808219178
bio_init,1.9,1.9
